Number,ID,Description
3169,201204/6ce73874-823f-4018-9a79-98c99897a2ec,For use as adjunctive therapy in the treatment of peptic ulcer.
21181,202208/181d0496-395b-420b-ae94-99921949fc16,"Milrinone lactate injection is indicated for the short-term intravenous treatment of patients with acute decompensated heart failure. Patients receiving milrinone should be observed closely with appropriate electrocardiographic equipment. The facility for immediate treatment of potential cardiac events, which may include life threatening ventricular arrhythmias, must be available. The majority of experience with intravenous milrinone has been in patients receiving digoxin and diuretics. There is no experience in controlled trials with infusions of milrinone for periods exceeding 48 hours."
29055,202305/fb484a4b-46c5-39ed-e053-6294a90ad216,"Therapy with lovastatin should be a component of multiple risk factor intervention in those individuals with dyslipidemia at risk for atherosclerotic vascular disease. Lovastatin should be used in addition to a diet restricted in saturated fat and cholesterol as part of a treatment strategy to lower total-C and LDL-C to target levels when the response to diet and other nonpharmacological measures alone has been inadequate to reduce risk. Primary Prevention of Coronary Heart Disease In individuals without symptomatic cardiovascular disease, average to moderately elevated total-C and LDL-C, and below average HDL-C, lovastatin is indicated to reduce the risk of: Myocardial infarction Unstable angina Coronary revascularization procedures (See CLINICAL PHARMACOLOGY, Clinical Studies.) Coronary Heart Disease Lovastatin is indicated to slow the progression of coronary atherosclerosis in patients with coronary heart disease as part of a treatment strategy to lower total-C and LDL-C to target levels. Hypercholesterolemia Therapy with lipid-altering agents should be a component of multiple risk factor intervention in those individuals at significantly increased risk for artherosclerotic vascular disease due to hypercholesterolemia. Lovastatin is indicated as an adjunct to diet for the reduction of elevated total-C and LDL-C levels in patients with primary hypercholesterolemia (Types IIa and IIb 2), when the response to diet restricted in saturated fat and cholesterol and to other nonpharmacological measures alone has been inadequate. Adolescent Patients with Heterozygous Familial Hypercholesterolemia Lovastatin is indicated as an adjunct to diet to reduce total-C, LDL-C and apolipoprotein B levels in adolescent boys and girls who are at least one year post-menarche, 10 to 17 years of age, with heFH if after an adequate trial of diet therapy the following findings are present: LDL-C remains &gt;189 mg/dL or LDL-C remains &gt;160 mg/dL and: there is a positive family history of premature cardiovascular disease or two or more other CVD risk factors are present in the adolescent patient General Recommendations Prior to initiating therapy with lovastatin, secondary causes for hypercholesterolemia (e.g., poorly controlled diabetes mellitus, hypothyroidism, nephrotic syndrome, dysproteinemias, obstructive liver disease, other drug therapy, alcoholism) should be excluded, and a lipid profile performed to measure total-C, HDL-C, and TG. For patients with TG less than 400 mg/dL (&lt;4.5 mmol/L), LDL-C can be estimated using the following equation: LDL-C = total-C - [0.2 × (TG) + HDL-C] For TG levels &gt;400 mg/dL (&gt;4.5 mmol/L), this equation is less accurate and LDL-C concentrations should be determined by ultracentrifugation. In hypertriglyceridemic patients, LDL-C may be low or normal despite elevated total-C. In such cases, lovastatin is not indicated. The National Cholesterol Education Program (NCEP) Treatment Guidelines are summarized below: † CHD, coronary heart disease †† Some authorities recommend use of LDL-lowering drugs in this category if an LDL-C level of &lt;100 mg/dL cannot be achieved by therapeutic lifestyle changes. Others prefer use of drugs that primarily modify triglycerides and HDL-C, e.g., nicotinic acid or fibrate. Clinical judgment also may call for deferring drug therapy in this subcategory. ††† Almost all people with 0-1 risk factor have a 10-year risk &lt;10%; thus, 10-year risk assessment in people with 0-1 risk factor is not necessary. NCEP Treatment Guidelines: LDL-C Goals and Cutpoints for Therapeutic Lifestyle Changes and Drug Therapy in Different Risk Categories Risk Category LDL Goal (mg/dL) LDL Level at Which to Initiate Therapeutic Lifestyle Changes (mg/dL) LDL Level at Which to Consider Drug Therapy (mg/dL) CHD † or CHD risk equivalents (10-year risk &gt;20%) &lt;100 ≥100 ≥130 (100-129: drug optional) †† 2+ Risk factors (10 year risk ≤20%) &lt;130 ≥130 10-year risk 10-20%: ≥130 10-year risk &lt;10%: ≥160 0-1 Risk factor ††† &lt;160 ≥160 ≥190 (160-189: LDL-lowering drug optional) 2 Classification of Hyperlipoproteinemias Lipid Elevations Type Lipoproteins elevated major minor I chylomicrons TG ↑→C IIa LDL C -- IIb LDL, VLDL C TG III (rare) IDL C/TG -- IV VLDL TG ↑→C V (rare) chylomicrons, VLDL TG ↑→C IDL = intermediate-density lipoprotein. After the LDL-C goal has been achieved, if the TG is still ≥200 mg/dL, non-HDL-C (total-C minus HDL-C) becomes a secondary target of therapy. Non-HDL-C goals are set 30 mg/dL higher than LDL-C goals for each risk category. At the time of hospitalization for an acute coronary event, consideration can be given to initiating drug therapy at discharge if the LDL-C is ≥130 mg/dL (see NCEP Guidelines above). Since the goal of treatment is to lower LDL-C, the NCEP recommends that LDL-C levels be used to initiate and assess treatment response. Only if LDL-C levels are not available, should the total-C be used to monitor therapy. Although lovastatin may be useful to reduce elevated LDL-C levels in patients with combined hypercholesterolemia and hypertriglyceridemia where hypercholesterolemia is the major abnormality (Type IIb hyperlipoproteinemia), it has not been studied in conditions where the major abnormality is elevation of chylomicrons, VLDL or IDL (i.e., hyperlipoproteinemia types I, III, IV, or V). *** The NCEP classification of cholesterol levels in pediatric patients with a familial history of hypercholesterolemia or premature cardiovascular disease is summarized below: Category Total-C (mg/dL) LDL-C (mg/dL) Acceptable &lt;170 &lt;110 Borderline 170-199 110-129 High ≥200 ≥130 Children treated with lovastatin in adolescence should be re-evaluated in adulthood and appropriate changes made to their cholesterol-lowering regimen to achieve adult goals for LDL-C."
6634,201611/406b8404-2832-558d-e054-00144ff8d46c,"Amoxicillin is a penicillin-class antibacterial indicated for treatment of infections due to susceptible strains of designated microorganisms. •Infections of the ear, nose, throat, genitourinary tract, skin and skin structure, and lower respiratory tract. ( 1.1 – 1.5 ) •In combination for treatment of H. pylori infection and duodenal ulcer disease. (1.5) To reduce the development of drug-resistant bacteria and maintain the effectiveness of amoxicillin and other antibacterial drugs, amoxicillin should be used only to treat infections that are proven or strongly suspected to be caused by bacteria. ( 1.6 )"
33907,202309/7e993740-efd8-4635-aed7-b535b6bbe092,AROMASIN is an aromatase inhibitor indicated for: • adjuvant treatment of postmenopausal women with estrogen-receptor positive early breast cancer who have received two to three years of tamoxifen and are switched to AROMASIN for completion of a total of five consecutive years of adjuvant hormonal therapy ( 14.1 ). • treatment of advanced breast cancer in postmenopausal women whose disease has progressed following tamoxifen therapy ( 14.2 ).
17447,202112/d44efada-eee3-747e-e053-2995a90af561,For the relief of symptoms of depression. Endogenous depression is more likely to be alleviated than are other depressive states.
36620,202311/65f6bb92-d6cf-4e2e-aa8c-8e7c25dd6fb7,"Ergocalciferol is indicated for use in the treatment of hypoparathyroidism, refractory rickets, also known as vitamin D resistant rickets, and familial hypophosphatemia."
27730,202304/f53b33b7-a36c-0881-e053-2a95a90af66b,"Benztropine mesylate tablets USP are indicated for use as an adjunct in the therapy of all forms of parkinsonism. Useful also in the control of extrapyramidal disorders (except tardive dyskinesia – see PRECAUTIONS ) due to neuroleptic drugs (e.g., phenothiazines)."
31611,202307/fd8f9b33-2451-7a8c-e053-6294a90a7b52,Tranexamic Acid Injection is indicated in patients with hemophilia for short-term use (2 to 8 days) to reduce or prevent hemorrhage and reduce the need for replacement therapy during and following tooth extraction.
26072,202302/4c2fb12f-623b-4dc9-a9e0-7fac953f5cf0,Triazolam tablets are indicated for the short-term treatment of insomnia (generally 7 to 10 days) in adults.
29634,202305/33cc42c7-6468-4d25-bd44-f28ba03ea6cd,"Torsemide tablets are a loop diuretic indicated for: the treatment of edema associated with heart failure, renal disease or hepatic disease. ( 1.1 ) the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. ( 1.2 )"
45083,202402/115e3bb3-5fbb-6adc-e063-6294a90a5c23,"Topiramate tablets are indicated for: Epilepsy: initial monotherapy for the treatment of partial-onset or primary generalized tonic-clonic seizures in patients 2 years of age and older ( 1.1 ); adjunctive therapy for the treatment of partial-onset seizures, primary generalized tonic-clonic seizures, or seizures associated with Lennox-Gastaut syndrome in patients 2 years of age and older ( 1.2 ) Preventive treatment of migraine in patients 12 years of age and older ( 1.3 )"
14798,202102/bc090f91-6be3-0bb9-e053-2a95a90a3982,"Pioglitazone tablet is a thiazolidinedione and an agonist for peroxisome proliferator-activated receptor (PPAR) gamma indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. ( 1.1 , 14 ) Important Limitation of Use: Not for treatment of type 1 diabetes or diabetic ketoacidosis. ( 1.2 )"
9558,201906/2e87857a-e8e7-4e9f-ab8a-3d8f373a4281,Carefully consider the potential benefits and risks of Ibuprofentablets and other treatment options before deciding to use Ibuprofen.Use the lowest effective dose for the shortest duration consistent withindividual patient treatment goals (see WARNINGS ). IBU tablets are indicated for relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis. IBU tablets are indicated for relief of mild to moderate pain. IBU tablets are also indicated for the treatment of primary dysmenorrhea. Controlled clinical trials to establish the safety and effectiveness of IBU tablets in children have not been conducted.
1909,201104/18fbbcbb-73bd-4d22-8f4e-9a2777f0daf8,"Mirtazapine tablets are indicated for the treatment of major depressive disorder.   The efficacy of mirtazapine in the treatment of major depressive disorder was established in six week controlled trials of outpatients whose diagnoses corresponded most closely to the Diagnostic and Statistical Manual of Mental Disorders-3rd edition (DSM-III) category of major depressive disorder (see CLINICAL PHARMACOLOGY ). A major depressive episode (DSM-IV) implies a prominent and relatively persistent (nearly every day for at least 2 weeks) depressed or dysphoric mood that usually interferes with daily functioning, and includes at least five of the following nine symptoms: depressed mood, loss of interest in usual activities, significant change in weight and/or appetite, insomnia or hypersomnia, psychomotor agitation or retardation, increased fatigue, feelings of guilt or worthlessness, slowed thinking or impaired concentration, a suicide attempt or suicidal ideation. The effectiveness of mirtazapine in hospitalized depressed patients has not been adequately studied. The efficacy of mirtazapine in maintaining a response in patients with major depressive disorder for up to 40 weeks following 8 to 12 weeks of initial open-label treatment was demonstrated in a placebo-controlled trial. Nevertheless, the physician who elects to use mirtazapine for extended periods should periodically re-evaluate the long-term usefulness of the drug for the individual patient (see CLINICAL PHARMACOLOGY )"
7990,201806/e4abdf47-d651-478c-be0b-88b2f256023c,Ofloxacin ophthalmic solution is indicated for the treatment of infections caused by susceptible strains of the following bacteria in the conditions listed below: CONJUNCTIVITIS: Gram-positive bacteria: Gram-negative bacteria: Staphylococcus aureus Enterobacter cloacae Staphylococcus epidermidis Haemophilus influenzae Streptococcus pneumoniae Proteus mirabilis Pseudomonas aeruginosa CORNEAL ULCERS: Gram-positive bacteria: Gram-negative bacteria: Staphylococcus aureus Pseudomonas aeruginosa Staphylococcus epidermidis Serratia marcescens* Streptococcus pneumoniae Anaerobic species: Propionibacterium acnes *Efficacy for this organism was studied in fewer than 10 infections.
15504,202104/d1a4cdf7-759e-4862-99d8-ed4d586a07e8,"Amlodipine besylate tablets, USP is a calcium channel blocker and may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of: Hypertension ( 1.1 ) Amlodipine besylate tablets, USP are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. Coronary Artery Disease ( 1.2 ) Chronic Stable Angina Vasospastic Angina (Prinzmetal’s or Variant Angina) Angiographically Documented Coronary Artery Disease in patients without heart failure or an ejection fraction &lt; 40%"
3803,201211/0319ae11-7457-4e15-98f5-a0a6bcaff666,Albuterol tablets are indicated for the relief of bronchospasm in adults and children 6 years of age and older with reversible obstructive airway disease.
46900,202403/a60d75d8-56a3-489e-9806-3b2f9fb6d553,"Sucralfate tablets are indicated in: Short-term treatment (up to 8 weeks) of active duodenal ulcer. While healing with sucralfate may occur during the first week or two, treatment should be continued for 4 to 8 weeks unless healing has been demonstrated by x-ray or endoscopic examination. Maintenance therapy for duodenal ulcer patients at reduced dosage after healing of acute ulcers."
44108,202402/2f5aff99-b625-4cf0-a4b7-27db96adfffd,"This fixed combination drug is not indicated for the initial therapy of edema or hypertension except in individuals in whom the development of hypokalemia cannot be risked. Triamterene and hydrochlorothiazide capsules, USP are indicated for the treatment of hypertension or edema in patients who develop hypokalemia on hydrochlorothiazide alone. Triamterene and hydrochlorothiazide capsules, USP are also indicated for those patients who require a thiazide diuretic and in whom the development of hypokalemia cannot be risked. Triamterene and hydrochlorothiazide capsules, USP may be used alone or as an adjunct to other antihypertensive drugs, such as beta-blockers. Since triamterene and hydrochlorothiazide capsules, USP may enhance the action of these agents, dosage adjustments may be necessary. Usage in Pregnancy: The routine use of diuretics in an otherwise healthy woman is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy, and there is no satisfactory evidence that they are useful in the treatment of developed toxemia. Edema during pregnancy may arise from pathological causes or from the physiologic and mechanical consequences of pregnancy. Diuretics are indicated in pregnancy when edema is due to pathologic causes, just as they are in the absence of pregnancy. Dependent edema in pregnancy resulting from restriction of venous return by the expanded uterus is properly treated through elevation of the lower extremities and use of support hose; use of diuretics to lower intravascular volume in this case is illogical and unnecessary. There is hypervolemia during normal pregnancy which is harmful to neither the fetus nor the mother (in the absence of cardiovascular disease), but which is associated with edema, including generalized edema in the majority of pregnant women. If this edema produces discomfort, increased recumbency will often provide relief. In rare instances this edema may cause extreme discomfort which is not relieved by rest. In these cases, a short course of diuretics may provide relief and may be appropriate."
28654,202304/99d594cc-39d4-4fd8-8d40-ba591ba8b0e8,"Colchicine tablets, USP are an alkaloid indicated for: Prophylaxis and treatment of gout flares in adults ( 1.1 ). Familial Mediterranean fever (FMF) in adults and children 4 years or older (1.2) ."
12756,202011/a976b80a-6c02-2050-e053-2995a90ac814,Omeprazole is a proton pump inhibitor (PPI) indicated for the: • Treatment of active duodenal ulcer in adults (1.1) • Eradication of Helicobacter pylori to reduce the risk of duodenal ulcer recurrence in adults (1.2) • Treatment of active benign gastric ulcer in adults (1.3) • Treatment of symptomatic gastroesophageal reflux disease (GERD) in patients 2 years of age and older (1.4) • Maintenance of healing of EE due to acid-mediated GERD in patients 2 years of age and older (1.6) • Pathologic hypersecretory conditions in adults (1.7)
32324,202308/d5c8be39-92f9-47cc-b93e-f87dbb134933,"Hydroxychloroquine sulfate tablets are an antimalarial and antirheumatic indicated for the: Treatment of uncomplicated malaria due to Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, and Plasmodium vivax in adult and pediatric patients. ( 1.1 ) Prophylaxis of malaria in geographic areas where chloroquine resistance is not reported in adult and pediatric patients. ( 1.1 ) Treatment of rheumatoid arthritis in adults. ( 1.2 ) Treatment of systemic lupus erythematosus in adults. ( 1.3 ) Treatment of chronic discoid lupus erythematosus in adults. ( 1.4 ) Limitations of Use (1.1): Hydroxychloroquine sulfate tablets are not recommended for the: Treatment of complicated malaria. Treatment of chloroquine or hydroxychloroquine-resistant strains of Plasmodium species. Treatment of malaria acquired in geographic areas where chloroquine resistance occurs or when the Plasmodium species has not been identified. Prophylaxis of malaria in geographic areas where chloroquine resistance occurs. Prevention of relapses of P. vivax or P. ovale because it is not active against the hypnozoite liver stage forms of these parasites. For radical cure of P. vivax and P. ovale infections, concomitant therapy with an 8-aminoquinoline drug is necessary."
29661,202305/fc8cb10c-4975-c0bd-e053-6394a90a6fdb,"Doxazosin tablets, USP are alpha 1 adrenergic antagonist indicated for: Signs and symptoms of Benign Prostatic Hyperplasia (BPH) Treatment of Hypertension"
2517,201111/6a31de21-7f3b-428e-9c95-76b8f7271f81,"Carefully consider the potential benefits and risks of sulindac and other treatment options before deciding to use sulindac. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see WARNINGS ). Sulindac tablets are indicated for acute long-term use in the relief of signs and symptoms of the following: Osteoarthritis Rheumatoid arthritis* Ankylosing spondylitis Acute painful shoulder (Acute subacromial bursitis/supraspinatus tendinitis) Acute gouty arthritis  * The safety and effectiveness of sulindac have not been established in rheumatoid arthritis patients who are designated in the American Rheumatism Association classification as Functional Class IV (incapacitated, largely or wholly bedridden, or confined to wheelchair; little or no self-care)."
32331,202308/e8d62781-b9de-4d02-b5d2-02b024895c95,"Esomeprazole sodium for injection is a proton pump inhibitor (PPI) indicated for the:  •  Short-term treatment of Gastroesophageal Reflux Disease (GERD) with erosive esophagitis (EE) in adults and pediatric patients 1 month to 17 years of age,  as an alternative to oral therapy when oral  esomeprazole sodium is not possible or appropriate. ( 1.1 ) • Risk reduction of rebleeding of gastric or duodenal ulcers following therapeutic endoscopy for acute bleeding gastric or duodenal ulcers in adults. ( 1.2 )"
35291,202310/ea5de5f7-67b3-4a6e-8de6-643f9c5284c6,For use as adjunctive therapy in the treatment of peptic ulcer.
3891,201302/083f09ed-bcec-4d2d-8a30-09c1b95e4708,"Fosinopril sodium tablets are indicated for the treatment of hypertension. They may be used alone or in combination with thiazide diuretics. Fosinopril sodium tablets are indicated in the management of heart failure as adjunctive therapy when added to conventional therapy including diuretics with or without digitalis (see DOSAGE AND ADMINISTRATION ). In using fosinopril sodium, consideration should be given to the fact that another angiotensin-converting enzyme inhibitor, captopril, has caused agranulocytosis, particularly in patients with renal impairment or collagen-vascular disease. Available data are insufficient to show that fosinopril sodium does not have a similar risk (see WARNINGS ). In considering use of fosinopril sodium, it should be noted that in controlled trials ACE inhibitors have an effect on blood pressure that is less in black patients than in non-blacks. In addition, ACE inhibitors (for which adequate data are available) cause a higher rate of angioedema in black than in non-black patients (see WARNINGS , Head and Neck Angioedema and Intestinal Angioedema )."
46402,202403/7f269e55-b085-4315-807a-e425f0189b2c,"To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefdinir for oral suspension, USP and other antibacterial drugs, cefdinir for oral suspension, USP should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Cefdinir for oral suspension, USP is indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the conditions listed below."
28089,202304/d28ea6e9-e5af-4384-af05-a8b9d7f56644,"To reduce the development of drug-resistant bacteria and maintain the effectiveness of cefdinir and other antibacterial drugs, cefdinir should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. Cefdinir for oral suspension is indicated for the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms in the conditions listed below. Adults and Adolescents Community-Acquired Pneumonia caused by  Haemophilus influenzae  (including β-lactamase producing strains),  Haemophilus parainfluenzae  (including β-lactamase producing strains),  Streptococcus pneumoniae  (penicillin-susceptible strains only), and  Moraxella catarrhalis  (including β-lactamase producing strains) (see  CLINICAL STUDIES ). Acute Exacerbations of Chronic Bronchitis caused by  Haemophilus influenzae  (including β-lactamase producing strains),  Haemophilus parainfluenzae  (including β-lactamase producing strains),  Streptococcus pneumoniae  (penicillin-susceptible strains   only), and  Moraxella catarrhalis  (including β-lactamase producing strains). Acute Maxillary Sinusitis caused by  Haemophilus influenzae  (including β-lactamase producing strains),  Streptococcus pneumoniae  (penicillin-susceptible strains only), and  Moraxella catarrhalis  (including β-lactamase producing strains). NOTE:  For information on use in pediatric patients, see  Pediatric Use  and  DOSAGE AND ADMINISTRATION . Pharyngitis/Tonsillitis caused by  Streptococcus pyogenes  (see  CLINICAL STUDIES ). NOTE:  Cefdinir is effective in the eradication of  S. pyogenes  from the oropharynx. Cefdinir has not, however, been studied for the prevention of rheumatic fever following  S. pyogenes  pharyngitis/tonsillitis. Only intramuscular penicillin has been demonstrated to be effective for the prevention of rheumatic fever. Uncomplicated Skin and Skin Structure Infections caused by  Staphylococcus aureus  (including β-lactamase producing strains) and  Streptococcus pyogenes . Pediatric Patients Acute Bacterial Otitis Media caused by  Haemophilus influenzae  (including β-lactamase producing strains),  Streptococcus pneumoniae  (penicillin-susceptible strains only), and  Moraxella catarrhalis  (including β-lactamase producing strains).Pharyngitis/Tonsillitis caused by  Streptococcus pyogenes  (see  CLINICAL STUDIES ). NOTE:  Cefdinir is effective in the eradication of  S. pyogenes  from the oropharynx. Cefdinir has not, however, been studied for the prevention of rheumatic fever following  S. pyogenes  pharyngitis/tonsillitis. Only intramuscular penicillin has been demonstrated to be effective for the prevention of rheumatic fever. Uncomplicated Skin and Skin Structure Infections caused by  Staphylococcus aureus  (including β-lactamase producing strains) and  Streptococcus pyogenes ."
5312,201412/bafeb4a3-63d0-4e8f-a9fa-6c91e5b53925,"Phentermine hydrochloride is indicated as a short-term (a few weeks) adjunct in a regimen of weight reduction based on exercise, behavioral modification and caloric restriction in the management of exogenous obesity for patients with an initial body mass index ≥ 30 kg/m 2 , or ≥ 27 kg/m 2 in the presence of other risk factors (e.g., controlled hypertension, diabetes, hyperlipidemia). Below is a chart of body mass index (BMI) based on various heights and weights. BMI is calculated by taking the patients weight, in kilograms (kg), divided by the patients height, in meters (m), squared. Metric conversions are as follows: pounds ÷ 2.2 = kg; inches × 0.0254 = meters. BODY MASS INDEX (BMI), kg/m 2 The limited usefulness of agents of this class, including phentermine hydrochloride tablets, [ see Clinical Pharmacology (12.1 , 12.2) ] should be measured against possible risk factors inherent in their use such as those described below."
24761,202301/98bc3962-2a5f-4014-abf8-22e415bbcb21,Naltrexone Hydrochloride Tablets USP are indicated in the treatment of alcohol dependence and for the blockade of the effects of exogenously administered opioids. Naltrexone Hydrochloride Tablets USP have not been shown to provide any therapeutic benefit except as part of an appropriate plan of management for the addictions.
44770,202402/1131840c-be1a-59a2-e063-6394a90a3979,Tamsulosin hydrochloride capsules are indicated for the treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) [see Clinical Studies ( 14 )]. Tamsulosin hydrochloride capsules are not indicated for the treatment of hypertension.
25515,202302/6b3c6edc-c735-46e0-9b31-fac85dda0992,"Ribavirin for Inhalation Solution, USP is indicated for the treatment of hospitalized infants and young children with severe lower respiratory tract infections due to RSV. Treatment early in the course of severe lower respiratory tract infection may be necessary to achieve efficacy. Only severe RSV lower respiratory tract infection should be treated with Ribavirin for Inhalation Solution, USP. The vast majority of infants and children with RSV infection have disease that is mild, self-limited, and does not require hospitalization or antiviral treatment. Many children with mild lower respiratory tract involvement will require shorter hospitalization than would be required for a full course of Ribavirin for Inhalation Solution, USP aerosol (3 to 7 days) and should not be treated with the drug. Thus the decision to treat with Ribavirin for Inhalation Solution, USP should be based on the severity of the RSV infection. The presence of an underlying condition such as prematurity, immunosuppression or cardiopulmonary disease may increase the severity of clinical manifestations and complications of RSV infection. Use of aerosolized Ribavirin for Inhalation Solution, USP in patients requiring mechanical ventilator assistance should be undertaken only by physicians and support staff familiar with this mode of administration and the specific ventilator being used (see WARNINGS and DOSAGE AND ADMINISTRATION ). Diagnosis RSV infection should be documented by a rapid diagnostic method such as demonstration of viral antigen in respiratory tract secretions by immunofluorescence 3,4 or ELISA 5 before or during the first 24 hours of treatment. Treatment may be initiated while awaiting rapid diagnostic test results. However, treatment should not be continued without documentation of RSV infection. Non-culture antigen detection techniques may have false positive or false negative results. Assessment of the clinical situation, the time of year and other parameters may warrant reevaluation of the laboratory diagnosis."
40082,202312/d3d515d2-5301-4038-9eff-558de3b0e48d,RADICAVA and RADICAVA ORS are indicated for the treatment of amyotrophic lateral sclerosis (ALS).
27338,202303/df603ee5-4ae8-ddc0-e053-2995a90aa557,Clonidine hydrochloride tablets USP are indicated in the treatment of hypertension. Clonidine hydrochloride tablets USP may be employed alone or concomitantly with other antihypertensive agents.
42423,202401/04857555-d592-4a19-b2a0-55ca6fa43cb1,"Midodrine hydrochloride tablets are indicated for the treatment of symptomatic orthostatic hypotension (OH). Because midodrine hydrochloride tablets can cause marked elevation of supine blood pressure (BP &gt; 200 mmHg systolic), it should be used in patients whose lives are considerably impaired despite standard clinical care, including non-pharmacologic treatment (such as support stockings), fluid expansion, and lifestyle alterations. The indication is based on midodrine hydrochloride tablets effect on increases in 1-minute standing systolic blood pressure, a surrogate marker considered likely to correspond to a clinical benefit. At present, however, clinical benefits of midodrine hydrochloride tablets, principally improved ability to perform life activities, have not been established. Further clinical trials are underway to verify and describe the clinical benefits of midodrine hydrochloride tablets. After initiation of treatment, midodrine hydrochloride tablets should be continued only for patients who report significant symptomatic improvement."
40807,202312/038a4de7-852c-d8e4-e063-6394a90a22e7,Meclizine hydrochloride tablets are indicated for the treatment of vertigo associated with diseases affecting the vestibular system in adults.
39288,202312/fe6c3f23-06a7-4288-9a5d-ce7c11d3ca86,"Acyclovir ointment USP, 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous Herpes simplex virus infections in immunocompromised patients."
